Thousand Oaks - 5395016
Available Units - As Of Property Date: 02/14/2026

Parameters: Needed by date - 02/15/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 7-09-0107,27 Of 102, 7A7.2HC - 7A7.2HC, 1x1 - One bedroom one bath,741 Sq ft.,Vacant ready,10/31/2025,11/16/2025,2,0.0000,1639,1639,
 Unit 4-23-0125,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,11/02/2025,11/25/2025,2,0.0000,1612,1612,
 Unit 4-17-5781,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,11/06/2025,11/11/2025,2,0.0000,3806,3133,
 Unit 5-18-0202,22 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,11/10/2025,12/12/2025,2,0.0000,1844,1844,
 Unit 7-10-0303,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,11/11/2025,12/26/2025,2,0.0000,1797,1797,
 Unit 8-01-3013,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,11/12/2025,12/10/2025,2,0.0000,1625,1625,
 Unit 3-16-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,11/14/2025,12/04/2025,3,0.0000,1796,1796,
 Unit 4-06-5797,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant ready,11/18/2025,01/15/2026,3,0.0000,2857,2857,
 Unit 3-32-0207,23 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,11/22/2025,12/12/2025,3,0.0000,1815,1815,
 Unit 5-11-0106,25 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,Vacant ready,12/04/2025,01/12/2026,2,0.0000,1464,1464,
 Unit 5-17-0119,27 Of 102, 5thc1 - 5thc1," 3x2.5 - Three bedroom, 2.5 bath",1624 Sq ft.,Vacant ready,12/05/2025,12/26/2025,2,0.0000,2699,2699,
 Unit 8-01-1109,28 Of 102, 8A2.2 - 8A2.2, 1x1 - One bedroom one bath,660 Sq ft.,Vacant ready,12/05/2025,12/22/2025,2,0.0000,1541,1541,
 Unit 4-05-5793,25 Of 102, 4c1thgg - 4c1thgg," 3x3 - Three bedroom, 3 bath",1786 Sq ft.,Vacant ready,12/06/2025,01/07/2026,2,0.0000,3280,2700,
 Unit 7-11-0315,31 Of 102, 7A7.9 - 7A7.9, 1x1 - One bedroom one bath,785 Sq ft.,Vacant ready,12/11/2025,01/07/2026,2,0.0000,1738,1738,
 Unit 3-17-0213,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/13/2025,01/16/2026,2,0.0000,1356,1356,
 Unit 3-16-0205,23 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/14/2025,01/16/2026,2,0.0000,1356,1356,
 Unit 3-11-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,12/17/2025,01/16/2026,3,0.0000,1889,1889,
 Unit 8-01-2012,29 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,Vacant ready,12/24/2025,01/13/2026,2,0.0000,1561,1561,
 Unit 5-02-0109,23 Of 102, 5tha7 - 5tha7, 1x1 - One bedroom one bath,913 Sq ft.,Vacant ready,12/25/2025,01/19/2026,2,0.0000,1730,1730,
 Unit 7-02-0303,29 Of 102, 7B2 - 7B2," 2x2 - Two bedroom, two bath",1094 Sq ft.,Vacant ready,12/27/2025,01/19/2026,2,0.0000,2161,2161,
 Unit 5-01-0221,24 Of 102, 5b3 - 5b3," 2x2 - Two bedroom, two bath",1985 Sq ft.,Vacant ready,12/30/2025,01/21/2026,2,0.0000,2895,2887,
 Unit 7-04-0303,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant ready,12/30/2025,01/19/2026,2,0.0000,1541,1541,
 Unit 5-18-0342,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,12/31/2025,01/19/2026,2,0.0000,1371,1371,
 Unit 7-02-0302,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/02/2026,01/19/2026,2,0.0000,1570,1570,
 Unit 7-09-0111,30 Of 102, 7B3 - 7B3," 2x2 - Two bedroom, two bath",1130 Sq ft.,Vacant ready,01/04/2026,01/19/2026,2,0.0000,2481,2481,
 Unit 3-08-0202,23 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,01/05/2026,01/16/2026,3,0.0000,1815,1815,
 Unit 7-07-0104,29 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,Vacant ready,01/05/2026,01/23/2026,2,0.0000,1643,1640,
 Unit 7-06-0106,27 Of 102, 7A7.8 - 7A7.8, 1x1 - One bedroom one bath,775 Sq ft.,Vacant ready,01/05/2026,01/19/2026,2,0.0000,1590,1590,
 Unit 4-22-0222,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,01/05/2026,01/19/2026,2,0.0000,1523,1523,
 Unit 4-22-0304,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/06/2026,01/19/2026,2,0.0000,1307,1307,
 Unit 7-11-0318,30 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,Vacant ready,01/07/2026,01/30/2026,2,0.0000,1612,1612,
 Unit 8-01-3096,29 Of 102, 8A6.2 - 8A6.2, 1x1 - One bedroom one bath,782 Sq ft.,Vacant ready,01/08/2026,01/19/2026,2,0.0000,1634,1634,
 Unit 5-18-0218,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/15/2026,02/12/2026,2,0.0000,1444,1444,
 Unit 5-17-0311,25 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,01/18/2026,02/12/2026,2,0.0000,2070,2070,
 Unit 8-01-3086,34 Of 102, 8B6 - 8B6," 2x2 - Two bedroom, two bath",1346 Sq ft.,Vacant ready,01/19/2026,01/30/2026,2,0.0000,2563,2563,
 Unit 5-18-0146,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/20/2026,02/12/2026,2,0.0000,1429,1429,
 Unit 5-17-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/24/2026,02/12/2026,2,0.0000,1414,1414,
 Unit 5-18-0346,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/31/2026,02/12/2026,2,0.0000,1469,1469,
 Unit 5-18-0116,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,04/01/2025,02/28/2026,2,0.0000,1593,1584,
 Unit 4-26-0404,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,08/31/2025,02/20/2026,2,0.0000,1653,1644,
 Unit 5-18-0117,26 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,11/24/2025,02/27/2026,2,0.0000,1517,1509,
 Unit 3-21-0301,24 Of 102, 3b3-2t - 3b3-2t," 2x2 - Two bedroom, two bath",1228 Sq ft.,Vacant not ready,12/21/2025,01/03/2026,2,0.0000,1864,1864,
 Unit 4-27-0302,24 Of 102, 4bl4 - 4bl4," 2x2.5 - Two bedroom, 2.5 bath",1667 Sq ft.,Vacant not ready,01/13/2026,02/07/2026,2,0.0000,2541,2541,
 Unit 3-17-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant not ready,01/15/2026,02/07/2026,3,0.0000,1776,1776,
 Unit 7-10-0302,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant not ready,01/17/2026,02/06/2026,2,0.0000,1852,1852,
 Unit 5-17-0215,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant not ready,01/17/2026,04/30/2026,2,0.0000,1946,1925,
 Unit 8-01-2083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,Vacant not ready,01/21/2026,02/04/2026,2,0.0000,1572,1572,
 Unit 4-26-0334,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,01/23/2026,02/06/2026,2,0.0000,1549,1549,
 Unit 7-02-0116,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,01/25/2026,02/07/2026,2,0.0000,1812,1812,
 Unit 7-TH1-0104,30 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant not ready,01/27/2026,02/10/2026,2,0.0000,2968,2968,
 Unit 8-01-2034,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,Vacant not ready,01/27/2026,02/10/2026,2,0.0000,2418,2418,
 Unit 8-01-1048,28 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,Vacant not ready,01/30/2026,02/13/2026,2,0.0000,1707,1707,
 Unit 4-26-0321,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,01/31/2026,02/14/2026,2,0.0000,1649,1649,
 Unit 4-21-0204,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,01/31/2026,02/14/2026,2,0.0000,1379,1379,
 Unit 4-26-0104,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,02/28/2026,2,0.0000,1739,1729,
 Unit 4-26-0204,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,02/28/2026,2,0.0000,1658,1649,
 Unit 4-24-0204,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,02/01/2026,02/14/2026,2,0.0000,1434,1434,
 Unit 3-16-0113,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant not ready,02/03/2026,02/17/2026,3,0.0000,1896,1896,
 Unit 3-11-0101,25 Of 102, 3a7t - 3a7t, 1x1 - One bedroom one bath,815 Sq ft.,Vacant not ready,02/05/2026,02/19/2026,2,0.0000,1462,1454,
 Unit 7-02-0201,28 Of 102, 7B5 - 7B5," 2x2 - Two bedroom, two bath",1222 Sq ft.,Vacant not ready,02/07/2026,02/21/2026,2,0.0000,2443,2443,
 Unit 8-01-2041,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant not ready,02/07/2026,02/21/2026,2,0.0000,1661,1652,
 Unit 4-24-0315,26 Of 102, 4b1 - 4b1," 2x2 - Two bedroom, two bath",1105 Sq ft.,Vacant not ready,02/08/2026,02/21/2026,2,0.0000,1821,1821,
 Unit 5-18-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/08/2026,02/21/2026,2,0.0000,1402,1394,
 Unit 8-01-3107,30 Of 102, 8B4.2 - 8B4.2," 2x2 - Two bedroom, two bath",1259 Sq ft.,Vacant not ready,02/09/2026,02/21/2026,2,0.0000,2618,2618,
 Unit 4-27-0211,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,02/09/2026,02/21/2026,2,0.0000,1442,1434,
 Unit 4c-02-S307,21 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,Vacant not ready,02/09/2026,02/21/2026,2,0.0000,1474,1466,
 Unit 7-10-0306,30 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant not ready,02/10/2026,02/24/2026,2,0.0000,1887,1877,
 Unit 4-24-0112,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/10/2026,02/24/2026,2,0.0000,1527,1519,
 Unit 5-09-0109,25 Of 102, 5tha6.1 - 5tha6.1, 1x1 - One bedroom one bath,824 Sq ft.,Vacant not ready,02/11/2026,02/25/2026,2,0.0000,1739,1729,
 Unit 5-11-0303,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/12/2026,02/26/2026,2,0.0000,1397,1389,
 Unit 4-26-0106,27 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/13/2026,02/27/2026,2,0.0000,1774,1764,
 Unit 5-03-0227,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,On notice,02/15/2026,02/28/2026,2,0.0000,1900,1900,
 Unit 5-18-0125,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,02/15/2026,02/28/2026,2,0.0000,1512,1504,
 Unit 4-27-0111,22 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,02/15/2026,02/28/2026,2,0.0000,1346,1339,
 Unit 7-10-0107,31 Of 102, 7A9.2 - 7A9.2, 1x1 - One bedroom one bath,945 Sq ft.,On notice,02/16/2026,02/28/2026,2,0.0000,1973,1962,
 Unit 4-01-5790,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,On notice,02/19/2026,03/05/2026,3,0.0000,2845,2845,
 Unit 5-10-0203,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,02/19/2026,03/05/2026,2,0.0000,1369,1369,
 Unit 4-23-0223,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,02/19/2026,03/05/2026,2,0.0000,1229,1229,
 Unit 4-24-0314,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,02/23/2026,03/07/2026,2,0.0000,1484,1484,
 Unit 4-24-0412,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,02/23/2026,03/07/2026,2,0.0000,1304,1304,
 Unit 5-17-0204,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice (Break),02/23/2026,03/07/2026,2,0.0000,1369,1369,
 Unit 4-02-7141,25 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,On notice,02/24/2026,03/10/2026,3,0.0000,2920,2920,
 Unit 7-07-0107,28 Of 102, 7A7.8 - 7A7.8, 1x1 - One bedroom one bath,775 Sq ft.,On notice,02/26/2026,03/12/2026,2,0.0000,1667,1667,
 Unit 4-26-0208,26 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,02/27/2026,03/13/2026,2,0.0000,1484,1484,
 Unit 4-26-0109,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,02/28/2026,03/14/2026,2,0.0000,1439,1439,
 Unit 7-10-0203,28 Of 102, 7A8.1 - 7A8.1, 1x1 - One bedroom one bath,860 Sq ft.,On notice,03/01/2026,03/14/2026,2,0.0000,1762,1762,
 Unit 8-01-1001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,On notice,03/01/2026,03/14/2026,2,0.0000,1747,1747,
 Unit 3-03-0310,24 Of 102, 3b3-2 - 3b3-2," 2x2 - Two bedroom, two bath",1228 Sq ft.,On notice,03/01/2026,03/14/2026,2,0.0000,1821,1821,
 Unit 8-01-2011,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,03/01/2026,03/14/2026,2,0.0000,1652,1652,
 Unit 5-18-0439,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/02/2026,03/14/2026,2,0.0000,1514,1514,
 Unit 3-33-0317,25 Of 102, 3a1 - 3a1, 1x1 - One bedroom one bath,609 Sq ft.,On notice,03/03/2026,03/17/2026,2,0.0000,1279,1279,
 Unit 7-04-0305,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,On notice,03/05/2026,03/19/2026,2,0.0000,1567,1567,
 Unit 7-04-0311,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,On notice (Break),03/07/2026,03/21/2026,2,0.0000,1567,1567,
 Unit 3-02-0203,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,On notice,03/08/2026,03/21/2026,3,0.0000,1846,1846,
 Unit 3-09-0209,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,On notice,03/08/2026,03/21/2026,3,0.0000,1846,1846,
 Unit 7-TH1-0102,29 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,On notice,03/09/2026,03/21/2026,2,0.0000,2918,2918,
 Unit 7-10-0101,30 Of 102, 7A9.1 - 7A9.1, 1x1 - One bedroom one bath,907 Sq ft.,On notice,03/09/2026,03/21/2026,2,0.0000,1952,1952,
 Unit 4c-02-S207,22 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,On notice,03/09/2026,03/21/2026,2,0.0000,1491,1491,
 Unit 7-03-0304,29 Of 102, 7B2 - 7B2," 2x2 - Two bedroom, two bath",1094 Sq ft.,On notice,03/10/2026,03/24/2026,2,0.0000,2198,2198,
 Unit 8-01-3030,30 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,On notice,03/11/2026,03/25/2026,2,0.0000,1637,1637,
 Unit 8-01-2007,27 Of 102, 8A5.1 - 8A5.1, 1x1 - One bedroom one bath,763 Sq ft.,On notice,03/12/2026,03/26/2026,2,0.0000,1642,1642,
 Unit 4-26-0230,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,03/12/2026,03/26/2026,2,0.0000,1409,1409,
 Unit 3-25-0302,22 Of 102, 3b3-1t - 3b3-1t," 2x2 - Two bedroom, two bath",1183 Sq ft.,On notice,03/15/2026,03/28/2026,2,0.0000,1946,1946,
 Unit 3-16-0215,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice,03/15/2026,03/28/2026,2,0.0000,1254,1254,
 Unit 4-22-0213,24 Of 102, 4b1 - 4b1," 2x2 - Two bedroom, two bath",1105 Sq ft.,On notice,03/16/2026,03/28/2026,2,0.0000,1771,1771,
 Unit 4-26-0228,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice (Break),03/17/2026,03/31/2026,2,0.0000,1534,1534,
 Unit 5-13-0305,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/17/2026,03/31/2026,2,0.0000,1389,1389,
 Unit 3-04-7195,25 Of 102, 3thc1gg - 3thc1gg," 3x3 - Three bedroom, 3 bath",1479 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,2560,2471,
 Unit 5-18-0221,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,1569,1569,
 Unit 5-12-0303,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,1514,1514,
 Unit 3-22-0204,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,On notice,03/19/2026,04/02/2026,3,0.0000,1379,1379,
 Unit 3-17-0301,26 Of 102, 3c2bg - 3c2bg," 3x2 - Three bedroom, two bath",1520 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,2481,2481,
 Unit 8-01-3083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,1572,1572,
 Unit 5-17-0316,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1464,1464,
 Unit 3-31-0111,24 Of 102, 3a3 - 3a3, 1x1 - One bedroom one bath,707 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1314,1314,
 Unit 8-01-1089,29 Of 102, 8B4.1 - 8B4.1," 2x2 - Two bedroom, two bath",1244 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,2638,2638,
 Unit 4-23-0225,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,1574,1574,
 Unit 5-13-0207,24 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/26/2026,04/09/2026,2,0.0000,1419,1419,
 Unit 5-18-0234,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/27/2026,04/10/2026,2,0.0000,1494,1494,
 Unit 8-01-4051,28 Of 102, 8A5.4 - 8A5.4, 1x1 - One bedroom one bath,774 Sq ft.,On notice,03/30/2026,04/11/2026,2,0.0000,1632,1632,
 Unit 8-01-4124,30 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice (Break),03/31/2026,04/14/2026,2,0.0000,1652,1652,
 Unit 5-01-0206,25 Of 102, 5a8 - 5a8, 1x1 - One bedroom one bath,957 Sq ft.,On notice,04/01/2026,04/15/2026,2,0.0000,1496,1496,
 Unit 7-08-0306,28 Of 102, 7B1 - 7B1," 2x2 - Two bedroom, two bath",1015 Sq ft.,On notice,04/02/2026,04/16/2026,2,0.0000,2101,2078,
 Unit 4-21-0212,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/03/2026,04/17/2026,2,0.0000,1254,1254,
 Unit 4-23-0302,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/05/2026,04/18/2026,2,0.0000,1254,1254,
 Unit 3-18-0202,24 Of 102, 3b4-1 - 3b4-1," 2x2 - Two bedroom, two bath",1240 Sq ft.,On notice,04/06/2026,04/18/2026,2,0.0000,1988,1966,
 Unit 5-10-0302,24 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,On notice,04/06/2026,04/18/2026,2,0.0000,1374,1374,
 Unit 8-01-2053,32 Of 102, 8B5.1 - 8B5.1," 2x2 - Two bedroom, two bath",1329 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2723,2693,
 Unit 8-01-2010,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2445,2418,
