Thousand Oaks - 5395016
Available Units - As Of Property Date: 03/17/2026

Parameters: Needed by date - 03/17/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 3-33-0310,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/21/2025,10/20/2025,3,0.0000,2025,1740,
 Unit 3-18-0304,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/26/2025,10/20/2025,3,0.0000,2139,1838,
 Unit 4-18-5777,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,10/11/2025,03/18/2026,3,0.0000,3331,3244,
 Unit 3-01-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,10/14/2025,10/28/2025,3,0.0000,2110,1813,
 Unit 4-21-0224,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,10/28/2025,11/11/2025,3,0.0000,1344,1344,
 Unit 7-10-0303,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,11/11/2025,12/26/2025,3,0.0000,1676,1676,
 Unit 8-01-3013,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,11/12/2025,12/10/2025,3,0.0000,1504,1504,
 Unit 3-16-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,11/14/2025,12/04/2025,3,0.0000,2059,1769,
 Unit 4-06-5797,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant ready,11/18/2025,01/15/2026,3,0.0000,3294,2830,
 Unit 4-05-5793,25 Of 102, 4c1thgg - 4c1thgg," 3x3 - Three bedroom, 3 bath",1786 Sq ft.,Vacant ready,12/06/2025,01/07/2026,3,0.0000,2822,2822,
 Unit 7-11-0315,31 Of 102, 7A7.9 - 7A7.9, 1x1 - One bedroom one bath,785 Sq ft.,Vacant ready,12/11/2025,01/07/2026,3,0.0000,1617,1617,
 Unit 3-17-0213,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/13/2025,01/16/2026,3,0.0000,1369,1369,
 Unit 3-16-0205,23 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/14/2025,01/16/2026,3,0.0000,1369,1369,
 Unit 3-11-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,12/17/2025,01/16/2026,3,0.0000,2167,1862,
 Unit 3-21-0301,24 Of 102, 3b3-2t - 3b3-2t," 2x2 - Two bedroom, two bath",1228 Sq ft.,Vacant ready,12/21/2025,03/16/2026,3,0.0000,2170,1869,
 Unit 7-04-0303,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant ready,12/30/2025,01/19/2026,3,0.0000,1420,1420,
 Unit 7-02-0302,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/02/2026,01/19/2026,3,0.0000,1449,1449,
 Unit 7-09-0111,30 Of 102, 7B3 - 7B3," 2x2 - Two bedroom, two bath",1130 Sq ft.,Vacant ready,01/04/2026,01/19/2026,3,0.0000,2763,2374,
 Unit 3-08-0202,23 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,01/05/2026,01/16/2026,3,0.0000,2082,1789,
 Unit 4-22-0222,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,01/05/2026,01/19/2026,3,0.0000,1536,1536,
 Unit 4-22-0304,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/06/2026,01/19/2026,3,0.0000,1320,1320,
 Unit 7-11-0318,30 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,Vacant ready,01/07/2026,01/30/2026,3,0.0000,1464,1464,
 Unit 3-17-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,01/15/2026,02/23/2026,2,0.0000,2016,1731,
 Unit 5-18-0218,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/15/2026,02/12/2026,3,0.0000,1299,1299,
 Unit 5-17-0215,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,01/17/2026,02/25/2026,2,0.0000,2179,1875,
 Unit 7-10-0302,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,01/17/2026,02/16/2026,3,0.0000,1700,1700,
 Unit 5-17-0311,25 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,01/18/2026,02/12/2026,3,0.0000,2318,1992,
 Unit 8-01-2083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,Vacant ready,01/21/2026,02/16/2026,3,0.0000,1425,1425,
 Unit 4-26-0334,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,01/23/2026,02/23/2026,2,0.0000,1549,1549,
 Unit 5-17-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/24/2026,02/12/2026,3,0.0000,1270,1270,
 Unit 7-02-0116,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/25/2026,02/16/2026,3,0.0000,1661,1661,
 Unit 7-TH1-0104,30 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant ready,01/27/2026,02/16/2026,3,0.0000,3043,2615,
 Unit 8-01-2034,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,Vacant ready,01/27/2026,02/16/2026,3,0.0000,2643,2271,
 Unit 4-21-0204,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/31/2026,02/23/2026,2,0.0000,1380,1380,
 Unit 5-18-0346,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/31/2026,02/12/2026,3,0.0000,1324,1324,
 Unit 7-02-0201,28 Of 102, 7B5 - 7B5," 2x2 - Two bedroom, two bath",1222 Sq ft.,Vacant ready,02/07/2026,02/24/2026,3,0.0000,2697,2318,
 Unit 8-01-2041,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,02/07/2026,02/24/2026,3,0.0000,1521,1521,
 Unit 5-18-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/08/2026,02/23/2026,3,0.0000,1260,1260,
 Unit 8-01-3107,30 Of 102, 8B4.2 - 8B4.2," 2x2 - Two bedroom, two bath",1259 Sq ft.,Vacant ready,02/09/2026,03/12/2026,3,0.0000,2913,2509,
 Unit 4-27-0211,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant ready,02/09/2026,03/07/2026,2,0.0000,1447,1447,
 Unit 7-10-0306,30 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,02/10/2026,02/24/2026,2,0.0000,1744,1744,
 Unit 4-24-0112,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/10/2026,03/06/2026,2,0.0000,1532,1532,
 Unit 5-11-0303,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/12/2026,02/25/2026,2,0.0000,1263,1263,
 Unit 4-26-0106,27 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,02/13/2026,03/07/2026,2,0.0000,1777,1777,
 Unit 4-01-5790,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant ready,02/19/2026,03/16/2026,2,0.0000,3272,2818,
 Unit 7-09-0103,27 Of 102, 7A6.2 - 7A6.2, 1x1 - One bedroom one bath,650 Sq ft.,Vacant ready,02/19/2026,03/06/2026,2,0.0000,1424,1424,
 Unit 5-10-0203,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/19/2026,02/25/2026,2,0.0000,1243,1243,
 Unit 4-26-0208,26 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant ready,02/27/2026,03/13/2026,2,0.0000,1497,1497,
 Unit 4-26-0109,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/28/2026,03/13/2026,2,0.0000,1452,1452,
 Unit 5-18-0116,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,04/01/2025,03/31/2026,2,0.0000,1461,1461,
 Unit 4-27-0302,24 Of 102, 4bl4 - 4bl4," 2x2.5 - Two bedroom, 2.5 bath",1667 Sq ft.,Vacant not ready,01/13/2026,03/20/2026,2,0.0000,2919,2514,
 Unit 4-26-0104,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,03/30/2026,2,0.0000,1742,1742,
 Unit 4-26-0204,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,03/30/2026,2,0.0000,1662,1662,
 Unit 3-16-0115,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant not ready,02/03/2026,05/31/2026,2,0.0000,1297,1297,
 Unit 7-10-0107,31 Of 102, 7A9.2 - 7A9.2, 1x1 - One bedroom one bath,945 Sq ft.,Vacant not ready,02/16/2026,03/20/2026,2,0.0000,1839,1839,
 Unit 7-06-0209,29 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,Vacant not ready,02/17/2026,03/20/2026,2,0.0000,1409,1409,
 Unit 5-17-0104,25 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/19/2026,03/31/2026,2,0.0000,1351,1351,
 Unit 4c-02-S303,21 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,Vacant not ready,02/20/2026,03/20/2026,2,0.0000,1474,1474,
 Unit 4-24-0314,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,02/23/2026,03/20/2026,2,0.0000,1497,1497,
 Unit 4-24-0412,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/23/2026,03/18/2026,2,0.0000,1317,1317,
 Unit 4-02-7141,25 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant not ready,02/24/2026,03/21/2026,2,0.0000,3359,2893,
 Unit 7-07-0107,28 Of 102, 7A7.8 - 7A7.8, 1x1 - One bedroom one bath,775 Sq ft.,Vacant not ready,02/26/2026,03/20/2026,2,0.0000,1544,1544,
 Unit 5-18-0439,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,02/27/2026,03/20/2026,2,0.0000,1391,1391,
 Unit 4-21-0312,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/28/2026,03/20/2026,2,0.0000,1267,1267,
 Unit 3-03-0310,24 Of 102, 3b3-2 - 3b3-2," 2x2 - Two bedroom, two bath",1228 Sq ft.,Vacant not ready,03/01/2026,03/19/2026,2,0.0000,2083,1794,
 Unit 8-01-2011,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant not ready,03/01/2026,03/20/2026,2,0.0000,1529,1529,
 Unit 7-10-0203,28 Of 102, 7A8.1 - 7A8.1, 1x1 - One bedroom one bath,860 Sq ft.,Vacant not ready,03/02/2026,03/20/2026,2,0.0000,1639,1639,
 Unit 8-01-1001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant not ready,03/02/2026,03/20/2026,2,0.0000,1624,1624,
 Unit 5-03-0327,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant not ready,03/04/2026,03/31/2026,2,0.0000,2155,1856,
 Unit 8-01-3093,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,Vacant not ready,03/04/2026,03/20/2026,2,0.0000,1449,1449,
 Unit 7-02-0207,26 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/04/2026,03/18/2026,2,0.0000,1424,1424,
 Unit 7-04-0305,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/05/2026,03/19/2026,2,0.0000,1444,1444,
 Unit 7-04-0311,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/07/2026,03/21/2026,2,0.0000,1444,1444,
 Unit 3-09-0209,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant not ready,03/08/2026,03/21/2026,2,0.0000,2112,1819,
 Unit 7-TH2-0101,30 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,3087,2659,
 Unit 7-TH1-0102,29 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,3029,2609,
 Unit 4c-02-S207,22 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,1499,1499,
 Unit 7-03-0304,29 Of 102, 7B2 - 7B2," 2x2 - Two bedroom, two bath",1094 Sq ft.,Vacant not ready,03/10/2026,03/24/2026,2,0.0000,2426,2089,
 Unit 5-12-0303,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,03/11/2026,03/25/2026,2,0.0000,1391,1391,
 Unit 4-26-0230,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,03/12/2026,03/26/2026,2,0.0000,1422,1422,
 Unit 3-06-0006,24 Of 102, 3tha1-1 - 3tha1-1, 1x1 - One bedroom one bath,687 Sq ft.,Vacant not ready,03/12/2026,03/26/2026,2,0.0000,1317,1317,
 Unit 4-26-0409,22 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,03/12/2026,03/26/2026,2,0.0000,1237,1237,
 Unit 3-25-0302,22 Of 102, 3b3-1t - 3b3-1t," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant not ready,03/15/2026,03/28/2026,2,0.0000,2228,1919,
 Unit 4-03-7125,22 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,3098,2668,
 Unit 3-04-7195,25 Of 102, 3thc1gg - 3thc1gg," 3x3 - Three bedroom, 3 bath",1479 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,2689,2618,
 Unit 4-26-0228,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice (Break),03/18/2026,04/01/2026,2,0.0000,1547,1547,
 Unit 5-18-0221,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,1446,1446,
 Unit 3-17-0301,26 Of 102, 3c2bg - 3c2bg," 3x2 - Three bedroom, two bath",1520 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,3025,2605,
 Unit 8-01-3083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,1449,1449,
 Unit 5-17-0316,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1341,1341,
 Unit 4-23-0302,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1267,1267,
 Unit 8-01-1089,29 Of 102, 8B4.1 - 8B4.1," 2x2 - Two bedroom, two bath",1244 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,2529,2529,
 Unit 4-23-0225,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,1587,1587,
 Unit 3-33-0216,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice,03/25/2026,04/08/2026,2,0.0000,1367,1367,
 Unit 8-01-2035,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,03/27/2026,04/10/2026,2,0.0000,1529,1529,
 Unit 5-18-0234,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/27/2026,04/10/2026,2,0.0000,1371,1371,
 Unit 8-01-3053,32 Of 102, 8B5.1 - 8B5.1," 2x2 - Two bedroom, two bath",1329 Sq ft.,On notice,03/28/2026,04/11/2026,2,0.0000,2584,2584,
 Unit 4-25-0315,26 Of 102, 4al2 - 4al2," 1x1.5 - One bedroom, 1.5 bath",1167 Sq ft.,On notice,03/28/2026,04/11/2026,2,0.0000,1882,1882,
 Unit 7-11-0407,31 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,On notice,03/28/2026,04/11/2026,2,0.0000,1464,1464,
 Unit 8-01-4080,35 Of 102, 8B6 - 8B6," 2x2 - Two bedroom, two bath",1346 Sq ft.,On notice,03/30/2026,04/11/2026,2,0.0000,2624,2624,
 Unit 8-01-4051,28 Of 102, 8A5.4 - 8A5.4, 1x1 - One bedroom one bath,774 Sq ft.,On notice,03/30/2026,04/11/2026,2,0.0000,1509,1509,
 Unit 8-01-4124,30 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice (Break),03/31/2026,04/14/2026,2,0.0000,1529,1529,
 Unit 8-01-3030,30 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,On notice,04/02/2026,04/16/2026,2,0.0000,1514,1514,
 Unit 3-31-0112,24 Of 102, 3a3 - 3a3, 1x1 - One bedroom one bath,707 Sq ft.,On notice,04/02/2026,04/16/2026,2,0.0000,1317,1317,
 Unit 4-25-0204,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/03/2026,04/17/2026,2,0.0000,1417,1417,
 Unit 4-21-0212,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/03/2026,04/17/2026,2,0.0000,1267,1267,
 Unit 7-10-0101,30 Of 102, 7A9.1 - 7A9.1, 1x1 - One bedroom one bath,907 Sq ft.,On notice,04/04/2026,04/18/2026,2,0.0000,1829,1829,
 Unit 7-08-0203,27 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,On notice,04/04/2026,04/18/2026,2,0.0000,1334,1334,
 Unit 7-08-0306,28 Of 102, 7B1 - 7B1," 2x2 - Two bedroom, two bath",1015 Sq ft.,On notice,04/05/2026,04/18/2026,2,0.0000,1991,1969,
 Unit 5-10-0302,24 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,On notice,04/06/2026,04/18/2026,2,0.0000,1251,1251,
 Unit 8-01-2053,32 Of 102, 8B5.1 - 8B5.1," 2x2 - Two bedroom, two bath",1329 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2613,2584,
 Unit 8-01-2010,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2335,2309,
 Unit 8-01-1122,29 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,1664,1664,
 Unit 7-09-0109,28 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,1484,1484,
 Unit 3-16-0307,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice (Break),04/07/2026,04/21/2026,2,0.0000,1267,1267,
 Unit 4-26-0206,27 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,04/08/2026,04/22/2026,2,0.0000,1687,1687,
 Unit 7-03-0308,26 Of 102, 7A6.3 - 7A6.3, 1x1 - One bedroom one bath,650 Sq ft.,On notice,04/10/2026,04/24/2026,2,0.0000,1274,1274,
 Unit 5-17-0118,26 Of 102, 5thc1 - 5thc1," 3x2.5 - Three bedroom, 2.5 bath",1624 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,2655,2626,
 Unit 4-26-0316,26 Of 102, 4b1 - 4b1," 2x2 - Two bedroom, two bath",1105 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,1864,1844,
 Unit 4-21-0106,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,1477,1477,
 Unit 3-30-0124,23 Of 102, 3c3g - 3c3g," 3x2 - Three bedroom, two bath",1453 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,3013,2595,
 Unit 4-22-0302,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1342,1342,
 Unit 3-16-0217,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1267,1267,
 Unit 5-15-0205,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1246,1246,
 Unit 5-17-0209,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/14/2026,04/28/2026,2,0.0000,1296,1296,
 Unit 5-03-0230,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/14/2026,04/28/2026,2,0.0000,1246,1246,
 Unit 8-01-3011,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,04/16/2026,04/30/2026,2,0.0000,1529,1529,
 Unit 5-16-0207,24 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,04/16/2026,04/30/2026,2,0.0000,1371,1371,
 Unit 8-01-4017,29 Of 102, 8A8.2 - 8A8.2, 1x1 - One bedroom one bath,871 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1699,1699,
 Unit 7-04-0308,26 Of 102, 7A6.3 - 7A6.3, 1x1 - One bedroom one bath,650 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1274,1274,
 Unit 4-21-0218,26 Of 102, 4a1 - 4a1, 1x1 - One bedroom one bath,529 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1162,1162,
 Unit 8-01-1120,29 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice,04/20/2026,05/02/2026,2,0.0000,1689,1689,
 Unit 5-10-0303,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/21/2026,05/05/2026,2,0.0000,1266,1266,
 Unit 8-01-2045,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,04/23/2026,05/07/2026,2,0.0000,1529,1529,
 Unit 5-16-0203,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/23/2026,05/07/2026,2,0.0000,1371,1371,
 Unit 8-01-4037,30 Of 102, 8A7.1 - 8A7.1, 1x1 - One bedroom one bath,810 Sq ft.,On notice,04/24/2026,05/08/2026,2,0.0000,1609,1609,
 Unit 7-10-0301,30 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,On notice,04/26/2026,05/09/2026,2,0.0000,1754,1754,
 Unit 7-11-0317,31 Of 102, 7A7.9 - 7A7.9, 1x1 - One bedroom one bath,785 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1644,1644,
